pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,timestamp,orientation.x,orientation.y,orientation.z,orientation.w,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,enc1,enc2,enc3,enc4,vel1,vel2,vel3,vel4,m1current,m2current,m3current,m4current,orient_cov_1,orient_cov_2,orient_cov_3,orient_cov_4,orient_cov_5,orient_cov_6,orient_cov_7,orient_cov_8,orient_cov_9,angvel_cov_1,angvel_cov_2,angvel_cov_3,angvel_cov_4,angvel_cov_5,angvel_cov_6,angvel_cov_7,angvel_cov_8,angvel_cov_9,linacc_cov_1,linacc_cov_2,linacc_cov_3,linacc_cov_4,linacc_cov_5,linacc_cov_6,linacc_cov_7,linacc_cov_8,linacc_cov_9
-2.387910,-0.354019,0.265532,0.099382,-0.098396,0.720754,0.678937,45.979848,0.168276,0.040284,-0.908705,0.379889,0.001016,0.003048,0.000000,0.080857,-0.044286,-0.060000,52626.000000,52619.000000,52781.000000,52779.000000,0.000000,0.000000,1.000000,0.000000,-2.000000,23.000000,-43.000000,-21.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-2.387887,-0.354050,0.265515,0.099450,-0.098405,0.720782,0.678896,45.988805,0.168276,0.040284,-0.908705,0.379889,0.000984,0.002952,0.000000,0.081143,-0.045714,-0.060000,52626.000000,52619.000000,52781.000000,52779.000000,0.000000,0.000000,0.970588,0.000000,-2.617647,23.029412,-43.029412,-21.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-2.387913,-0.353998,0.265570,0.099351,-0.098443,0.720716,0.678975,45.995716,0.168276,0.040284,-0.908705,0.379889,0.000952,0.002857,0.000000,0.081429,-0.047143,-0.060000,52626.000000,52619.000000,52781.000000,52779.000000,0.000000,0.000000,0.941176,0.000000,-3.235294,23.058824,-43.058824,-21.117647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-2.387883,-0.354045,0.265542,0.099407,-0.098497,0.720757,0.678916,46.004172,0.168276,0.040284,-0.908705,0.379889,0.000921,0.002762,0.000000,0.081714,-0.048571,-0.060000,52626.000000,52619.000000,52781.000000,52779.000000,0.000000,0.000000,0.911765,0.000000,-3.852941,23.088235,-43.088235,-21.176471,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-2.387891,-0.354065,0.265524,0.099354,-0.098468,0.720740,0.678945,46.042788,0.168276,0.040284,-0.908705,0.379889,0.000889,0.002667,0.000000,0.082000,-0.050000,-0.060000,52626.000000,52619.000000,52781.000000,52779.000000,0.000000,0.000000,0.882353,0.000000,-4.470588,23.117647,-43.117647,-21.235294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-2.387877,-0.354074,0.265523,0.099323,-0.098460,0.720741,0.678950,46.044243,0.168276,0.040284,-0.908705,0.379889,0.000857,0.002571,0.000000,0.082286,-0.051429,-0.060000,52626.000000,52619.000000,52781.000000,52779.000000,0.000000,0.000000,0.852941,0.000000,-5.088235,23.147059,-43.147059,-21.294118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-2.387869,-0.353905,0.265476,0.099034,-0.099131,0.720498,0.679152,46.054355,0.168276,0.040284,-0.908705,0.379889,0.000825,0.002476,0.000000,0.082571,-0.052857,-0.060000,52626.000000,52619.000000,52781.000000,52779.000000,0.000000,0.000000,0.823529,0.000000,-5.705882,23.176471,-43.176471,-21.352941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-2.387977,-0.353992,0.265518,0.099154,-0.098498,0.720736,0.678975,46.078665,0.168276,0.040284,-0.908705,0.379889,0.000794,0.002381,0.000000,0.082857,-0.054286,-0.060000,52626.000000,52619.000000,52781.000000,52779.000000,0.000000,0.000000,0.794118,0.000000,-6.323529,23.205882,-43.205882,-21.411765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-2.387958,-0.353869,0.265421,0.098980,-0.099149,0.720634,0.679014,46.080387,0.168276,0.040284,-0.908705,0.379889,0.000762,0.002286,0.000000,0.083143,-0.055714,-0.060000,52626.000000,52619.000000,52781.000000,52779.000000,0.000000,0.000000,0.764706,0.000000,-6.941176,23.235294,-43.235294,-21.470588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-2.387949,-0.354025,0.265458,0.099200,-0.098593,0.720786,0.678901,46.081557,0.168276,0.040284,-0.908705,0.379889,0.000730,0.002190,0.000000,0.083429,-0.057143,-0.060000,52626.000000,52619.000000,52781.000000,52779.000000,0.000000,0.000000,0.735294,0.000000,-7.558824,23.264706,-43.264706,-21.529412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
