pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,timestamp,orientation.x,orientation.y,orientation.z,orientation.w,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,enc1,enc2,enc3,enc4,vel1,vel2,vel3,vel4,m1current,m2current,m3current,m4current,orient_cov_1,orient_cov_2,orient_cov_3,orient_cov_4,orient_cov_5,orient_cov_6,orient_cov_7,orient_cov_8,orient_cov_9,angvel_cov_1,angvel_cov_2,angvel_cov_3,angvel_cov_4,angvel_cov_5,angvel_cov_6,angvel_cov_7,angvel_cov_8,angvel_cov_9,linacc_cov_1,linacc_cov_2,linacc_cov_3,linacc_cov_4,linacc_cov_5,linacc_cov_6,linacc_cov_7,linacc_cov_8,linacc_cov_9
-2.505663,1.624483,1.060986,0.135517,-0.14383,0.719258,0.666045,25.699286,0.219784,0.052774,-0.891405,0.392816,-0.018889,-0.046667,-0.008519,0.156667,-0.106667,-0.093333,42916.75,42903.5,43044.75,43029.25,543.25,554.25,542.25,557.5,-87.25,-67.25,-124.75,-126.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.50549,1.623167,1.060636,0.135992,-0.143375,0.71924,0.666066,25.707836,0.21951,0.0528,-0.891484,0.392787,-0.019167,-0.046111,-0.008426,0.160833,-0.108333,-0.106667,42921.5,42908.332,43049.5,43034.168,542.1667,554.1667,541.1667,556.3333,-87.166664,-67.5,-124.166664,-126.333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.505128,1.622573,1.060197,0.136887,-0.142823,0.719153,0.666094,25.718584,0.219236,0.052825,-0.891562,0.392757,-0.019444,-0.045556,-0.008333,0.165,-0.11,-0.12,42926.25,42913.168,43054.25,43039.082,541.0833,554.0833,540.0833,555.1667,-87.083336,-67.75,-123.583336,-126.166664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.505133,1.622057,1.059996,0.136923,-0.142676,0.719248,0.666017,25.722397,0.218962,0.052851,-0.891641,0.392728,-0.019722,-0.045,-0.008241,0.169167,-0.111667,-0.133333,42931.0,42918.0,43059.0,43044.0,540.0,554.0,539.0,554.0,-87.0,-68.0,-123.0,-126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.505138,1.62154,1.059795,0.13696,-0.142528,0.719342,0.665939,25.72397,0.218688,0.052877,-0.89172,0.392699,-0.02,-0.044444,-0.008148,0.173333,-0.113333,-0.146667,42934.867,42921.867,43062.934,43048.0,541.4667,554.5333,539.4667,554.8,-87.0,-68.6,-123.666664,-126.53333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.504965,1.620765,1.059336,0.136717,-0.142266,0.719254,0.66614,25.732492,0.218414,0.052902,-0.891799,0.392669,-0.020278,-0.043889,-0.008056,0.1775,-0.115,-0.16,42938.734,42925.734,43066.867,43052.0,542.93335,555.06665,539.93335,555.6,-87.0,-69.2,-124.333336,-127.066666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.504616,1.619634,1.058668,0.136264,-0.141499,0.719378,0.666262,25.739384,0.21814,0.052928,-0.891878,0.39264,-0.020556,-0.043333,-0.007963,0.181667,-0.116667,-0.173333,42942.6,42929.6,43070.8,43056.0,544.4,555.6,540.4,556.4,-87.0,-69.8,-125.0,-127.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.504438,1.61889,1.058223,0.136491,-0.141312,0.719307,0.666332,25.745762,0.217866,0.052953,-0.891957,0.39261,-0.020833,-0.042778,-0.00787,0.185833,-0.118333,-0.186667,42946.465,42933.465,43074.734,43060.0,545.86664,556.13336,540.86664,557.2,-87.0,-70.4,-125.666664,-128.13333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.504445,1.618313,1.058058,0.136567,-0.141806,0.719422,0.666087,25.754375,0.217592,0.052979,-0.892035,0.392581,-0.021111,-0.042222,-0.007778,0.19,-0.12,-0.2,42950.332,42937.332,43078.668,43064.0,547.3333,556.6667,541.3333,558.0,-87.0,-71.0,-126.333336,-128.66667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.504452,1.617736,1.057892,0.136643,-0.142299,0.719537,0.665842,25.758085,0.217487,0.052996,-0.892043,0.39262,-0.01881,-0.04,-0.004127,0.165,-0.136429,-0.186429,42954.2,42941.2,43082.6,43068.0,548.8,557.2,541.8,558.8,-87.0,-71.6,-127.0,-129.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.503591,1.607136,1.052884,0.13545,-0.141756,0.71965,0.66608,25.842232,0.216333,0.053187,-0.892125,0.393045,0.006508,-0.015556,0.036032,-0.11,-0.317143,-0.037143,42997.715,42984.715,43126.145,43112.57,561.8571,561.5714,546.2857,566.1429,-86.71429,-75.71429,-133.14285,-133.28572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
